time	V(AC_OUT_N)*Id(M3)+V(N009)*Ig(M3)
0.000000000000000e+000	0.000000e+000
3.999999775849972e-010	3.996829e-014
7.999999551699943e-010	2.430135e-013
1.599999910339989e-009	1.644396e-012
3.199999820679977e-009	1.171756e-011
5.858310009350750e-009	6.517607e-011
8.788773312153148e-009	2.031006e-010
1.253687783044127e-008	5.384175e-010
1.727694030796271e-008	1.266458e-009
2.324135393067176e-008	2.714324e-009
3.031251187217144e-008	5.214748e-009
3.876891133834987e-008	9.257986e-009
4.920941685765069e-008	1.561873e-008
6.209159553329687e-008	2.509888e-008
7.828913489259634e-008	3.877840e-008
9.829441216570276e-008	5.723444e-008
1.203458159669137e-007	7.846679e-008
1.471082287378113e-007	1.045648e-007
1.786284823645239e-007	1.352098e-007
2.738735314930903e-007	2.267417e-007
7.586778537765673e-007	6.931988e-007
1.538289751687534e-006	1.455575e-006
1.712857351820201e-006	1.628198e-006
1.887424951952868e-006	1.801515e-006
2.061992552085535e-006	1.975520e-006
2.236560152218202e-006	2.150208e-006
2.411127752350869e-006	2.325573e-006
2.585695352483536e-006	2.501610e-006
2.760262952616202e-006	2.678312e-006
2.936322579464517e-006	2.857221e-006
3.088419551503251e-006	3.012336e-006
3.167784907057871e-006	3.093482e-006
3.262845862916657e-006	3.190865e-006
3.349247113887100e-006	3.279555e-006
3.445270157510825e-006	3.378325e-006
3.534798834596563e-006	3.470609e-006
3.630235474639515e-006	3.569195e-006
3.722398008402141e-006	3.664611e-006
3.818912771505228e-006	3.764763e-006
3.914809204143494e-006	3.864514e-006
4.015033060446480e-006	3.969035e-006
4.117279528123455e-006	4.075961e-006
4.225293593784591e-006	4.189265e-006
4.338691083169594e-006	4.308625e-006
4.461021189440639e-006	4.437900e-006
4.593582610435011e-006	4.578655e-006
4.740526311857251e-006	4.735606e-006
4.905007779360775e-006	4.912645e-006
5.092624728053212e-006	5.116717e-006
5.309002688795683e-006	5.355698e-006
5.562313916842721e-006	5.642201e-006
5.861861120897138e-006	5.994750e-006
6.220251689429557e-006	6.447757e-006
6.653074955190627e-006	7.073130e-006
7.181717897079030e-006	8.047305e-006
7.835432898718212e-006	9.784265e-006
8.615875150268959e-006	1.269036e-005
9.418418637891157e-006	1.592815e-005
1.033476727744194e-005	1.900007e-005
1.130932312364281e-005	2.145068e-005
1.264727714951658e-005	2.417900e-005
1.397843241590951e-005	2.661422e-005
1.544397734536920e-005	2.915919e-005
1.640873694001846e-005	3.079350e-005
1.815685029381555e-005	3.362102e-005
1.955550065689668e-005	3.574650e-005
2.038314394592904e-005	3.695835e-005
2.139969292242808e-005	3.840379e-005
2.281067083508768e-005	4.033667e-005
2.498901167719901e-005	4.316986e-005
2.776992471999216e-005	4.658075e-005
3.099354359822053e-005	5.031078e-005
3.454759593630016e-005	5.419264e-005
3.846354484227236e-005	5.822732e-005
4.295836475070523e-005	6.258442e-005
4.830788028315795e-005	6.745113e-005
5.544400902898085e-005	7.347905e-005
6.544400902898086e-005	8.123489e-005
7.544400902898086e-005	8.859837e-005
8.544400902898086e-005	9.556993e-005
9.544400902898085e-005	1.021471e-004
1.054440090289809e-004	1.083954e-004
1.254440090289809e-004	1.201009e-004
1.454440090289809e-004	1.309719e-004
1.654440090289809e-004	1.411875e-004
1.954440090289808e-004	1.555382e-004
2.254440090289808e-004	1.689572e-004
2.497297233146952e-004	1.796424e-004
2.740154376004095e-004	1.895195e-004
2.983011518861239e-004	1.987876e-004
3.225868661718382e-004	2.076456e-004
3.468725804575526e-004	2.162919e-004
3.711582947432669e-004	2.249247e-004
3.954440090289812e-004	2.337418e-004
4.383011518861242e-004	2.485058e-004
4.811582947432672e-004	2.621064e-004
5.240154376004102e-004	2.748122e-004
5.668725804575532e-004	2.868903e-004
6.097297233146962e-004	2.986068e-004
6.525868661718391e-004	3.102263e-004
6.954440090289820e-004	3.220125e-004
7.711582947432680e-004	3.415252e-004
8.468725804575538e-004	3.591127e-004
9.225868661718397e-004	3.751310e-004
9.983011518861257e-004	3.899311e-004
1.074015437600412e-003	4.038595e-004
1.149729723314698e-003	4.172579e-004
1.225444009028983e-003	4.304630e-004
1.356872580457555e-003	4.506355e-004
1.488301151886127e-003	4.668502e-004
1.619729723314699e-003	4.795676e-004
1.751158294743271e-003	4.892335e-004
1.882586866171843e-003	4.962789e-004
2.014015437600414e-003	5.011200e-004
2.145444009028986e-003	5.041582e-004
2.356872580457558e-003	5.025523e-004
2.568301151886130e-003	4.927566e-004
2.779729723314702e-003	4.755473e-004
2.991158294743274e-003	4.516820e-004
3.202586866171846e-003	4.218999e-004
3.414015437600418e-003	3.869220e-004
3.625444009028990e-003	3.474505e-004
4.000000000000000e-003	2.648539e-004
4.002803368165862e-003	2.641892e-004
4.005606736331723e-003	2.635237e-004
4.008410104497585e-003	2.628576e-004
4.011213472663446e-003	2.621907e-004
4.014016840829308e-003	2.615231e-004
4.016820208995169e-003	2.608548e-004
4.019623577161031e-003	2.601857e-004
4.019903455472684e-003	2.601189e-004
4.020183333784338e-003	2.600521e-004
4.020463212095991e-003	2.599853e-004
4.020743090407645e-003	2.599185e-004
4.021022968719298e-003	2.598516e-004
4.021302847030952e-003	2.597848e-004
4.021582725342606e-003	2.597179e-004
4.021862449232672e-003	2.596512e-004
4.022142043362216e-003	2.595844e-004
4.022421716515756e-003	2.595176e-004
4.022701334457609e-003	2.594508e-004
4.022981012097703e-003	2.593840e-004
4.023260686616456e-003	2.593172e-004
4.023540429273851e-003	2.592503e-004
4.023820223028921e-003	2.591835e-004
4.024100127576822e-003	2.591165e-004
4.024380166321727e-003	2.590496e-004
4.024660416425981e-003	2.589826e-004
4.024940955787508e-003	2.589156e-004
4.025221918658704e-003	2.588484e-004
4.025503479626924e-003	2.587810e-004
4.025785900167555e-003	2.587135e-004
4.026069544299611e-003	2.586456e-004
4.026354937889439e-003	2.585774e-004
4.026642825829807e-003	2.585086e-004
4.026934273097805e-003	2.584388e-004
4.027230793596203e-003	2.583679e-004
4.027534543719277e-003	2.582952e-004
4.027848590344898e-003	2.582201e-004
4.028177302262407e-003	2.581414e-004
4.028526920536015e-003	2.580578e-004
4.028906429225632e-003	2.579669e-004
4.029328949141741e-003	2.578657e-004
4.029814140681497e-003	2.577495e-004
4.030392736802725e-003	2.576110e-004
4.031116209851342e-003	2.574377e-004
4.032081539197926e-003	2.572064e-004
4.033484363029661e-003	2.568702e-004
4.036290010693130e-003	2.561973e-004
4.039461630102928e-003	2.554358e-004
4.042663632865241e-003	2.546663e-004
4.046677219544233e-003	2.537007e-004
4.051184919324179e-003	2.526146e-004
4.064242899041262e-003	2.494599e-004
4.073975243338482e-003	2.471004e-004
4.074131493338482e-003	2.470814e-004
4.074784442931769e-003	2.469040e-004
4.074785500577826e-003	2.469037e-004
4.074785797379014e-003	2.469036e-004
4.074786390981392e-003	2.469035e-004
4.074786557560646e-003	2.469035e-004
4.074786890719153e-003	2.469033e-004
4.074786984211528e-003	2.469033e-004
4.074787171196277e-003	2.469033e-004
4.074787223668741e-003	2.469033e-004
4.074787328613672e-003	2.469032e-004
4.074787358063770e-003	2.469033e-004
4.074787416963965e-003	2.469033e-004
4.074787433492791e-003	2.469033e-004
4.074787436352475e-003	2.469035e-004
4.074787437060929e-003	2.469033e-004
4.074787437510511e-003	2.469055e-004
4.074787438151088e-003	2.469011e-004
4.074787438311233e-003	2.469039e-004
4.074787438631522e-003	2.469029e-004
4.074787439272099e-003	2.469058e-004
4.074787440553254e-003	2.469022e-004
4.074787443115563e-003	2.469034e-004
4.074787448240182e-003	2.469034e-004
4.074787458489419e-003	2.469032e-004
4.074787478328879e-003	2.469031e-004
4.074787499241933e-003	2.469032e-004
4.074787534035613e-003	2.469033e-004
4.074787581185699e-003	2.469032e-004
4.074787675485872e-003	2.469032e-004
4.074788241286908e-003	2.469031e-004
4.074790504491054e-003	2.469025e-004
4.074814264193468e-003	2.468967e-004
4.074838023895881e-003	2.468909e-004
4.074861783598295e-003	2.468852e-004
4.074885543300709e-003	2.468794e-004
4.074909303003122e-003	2.468736e-004
4.074933062705535e-003	2.468678e-004
4.074956822407949e-003	2.468620e-004
4.075009215397296e-003	2.468494e-004
4.075070918883585e-003	2.468344e-004
4.075124321491206e-003	2.468214e-004
4.075301092441979e-003	2.467785e-004
4.075356902868736e-003	2.467649e-004
4.075453997876490e-003	2.467413e-004
4.075755966853917e-003	2.466680e-004
4.076057935831344e-003	2.465946e-004
4.076359904808771e-003	2.465212e-004
4.076661873786199e-003	2.464478e-004
4.076963842763627e-003	2.463745e-004
4.077265811741054e-003	2.463011e-004
4.077567780718481e-003	2.462276e-004
4.100000000000000e-003	2.407565e-004
4.223724167160704e-003	2.098904e-004
4.347448334321409e-003	1.781093e-004
4.471172501482113e-003	1.455681e-004
4.594896668642817e-003	1.124211e-004
4.718620835803520e-003	7.882221e-005
4.842345002964224e-003	4.492483e-005
4.966069170124928e-003	1.088182e-005
5.033212027267782e-003	-7.372852e-006
5.100354884410637e-003	-2.543374e-005
5.167497741553491e-003	-4.327828e-005
5.234640598696346e-003	-6.088435e-005
5.301783455839201e-003	-7.823031e-005
5.368926312982055e-003	-9.529497e-005
5.436069170124909e-003	-1.120576e-004
5.544640598696333e-003	-1.388724e-004
5.653212027267757e-003	-1.645993e-004
5.761783455839182e-003	-1.891717e-004
